,곡명,가수,앨범
0,넘쳐흘러,엠씨더맥스,Circular
1,띵 (Prod. By 기리보이),"Jvcki Wai, 영비 (Young B), Osshun Gum, 한요한",Dingo X Indigo Music
2,벌써 12시,청하,벌써 12시
3,180도,벤,180˚
4,신용재,하은 (라코스테남),신용재
5,SOLO,제니 (JENNIE),SOLO
6,MILLIONS,WINNER,MILLIONS
7,아낙네,MINO (송민호),XX
8,Love Shot,EXO,LOVE SHOT - The 5th Album Repackage
9,너를 만나,폴킴,너를 만나
10,해야 (Sunrise),여자친구 (GFRIEND),여자친구 The 2nd Album `Time for us`
11,YES or YES,TWICE (트와이스),YES or YES
12,Tempo,EXO,DON`T MESS UP MY TEMPO - The 5th Album
13,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,`키스 먼저 할까요?` OST Part.3
14,내 생에 아름다운,케이윌,뷰티 인사이드 OST Part.4
15,너도 그냥 날 놓아주면 돼,윤건,너도 그냥 날 놓아주면 돼
16,흔한 이별,허각,흔한 이별
17,첫눈에,헤이즈 (Heize),첫눈에
18,IDOL,방탄소년단,LOVE YOURSELF 結 `Answer`
19,가을 타나 봐,바이브,가을 타나 봐
20,%%(응응),Apink (에이핑크),PERCENT
21,삐삐,아이유,삐삐
22,"thank u, next",Ariana Grande,"thank u, next"
23,고백,양다일,고백
24,이별하러 가는 길,임한별,이별하러 가는 길
25,아름답고도 아프구나,비투비,HOUR MOMENT
26,Way Back Home,숀 (SHAUN),Take
27,봄바람,Wanna One (워너원),1¹¹=1 (POWER OF DESTINY)
28,하루도 그대를 사랑하지 않은 적이 없었다,임창정,하루도 그대를 사랑하지 않은 적이 없었다
29,열애중,벤,RECIPE
30,사계 (하루살이),엠씨더맥스,Circular
31,Good Day (Feat. 팔로알토) (Prod. 코드 쿤스트),"pH-1, Kid Milli, 루피(Loopy)",쇼미더머니 777 Episode 1
32,FAKE LOVE,방탄소년단,LOVE YOURSELF 轉 `Tear`
33,라비앙로즈 (La Vie en Rose),IZ*ONE (아이즈원),COLOR*IZ
34,트라우마 (Trauma),EXO,LOVE SHOT - The 5th Album Repackage
